2733, 97, 3613, 44, 414, 602, 1181, 801, 1140, 325
2935, 939, 3782, 1910, 841, 1251, 1845, 1043, 1934, 359
3221, 965, 4354, 2034, 1128, 2247, 2124, 1180, 2360, 397
3623, 2650, 4717, 2256, 1398, 2513, 2397, 1932, 2828, 705
4335, 2747, 4806, 2806, 2284, 3299, 3645, 2969, 3007, 908
4897, 3273, 5399, 3184, 3320, 3621, 3748, 3326, 3886, 2125
5438, 4702, 5706, 3379, 3946, 3959, 4017, 4081, 4092, 2338
5904, 7341, 5845, 3476, 4109, 4099, 5849, 4559, 4863, 2700
6425, 7702, 6371, 3901, 4630, 4499, 6742, 5475, 4900, 3397
7366, 8710, 6464, 5185, 6292, 5049, 7221, 5516, 4983, 4704
7801, 8749, 7229, 5673, 7353, 5770, 7587, 5805, 5251, 4854
8101, 8874, 7738, 5811, 8272, 7233, 7789, 5969, 5251, 5213
8979, 9253, 9209, 6310, 9053, 7355, 8075, 6239, 5539, 5425
9890, 9907, 9728, 7422, 9440, 8100, 8216, 6374, 5858, 5463
10727, 9992, 9931, 8472, 9894, 8424, 8821, 6640, 7549, 5567
10878, 10157, 10078, 9247, 10196, 8970, 9089, 6667, 8024, 5752
11105, 10441, 12138, 9890, 10753, 9588, 10260, 7368, 8280, 6243
11241, 10684, 12883, 9910, 10888, 11798, 10712, 7618, 8389, 6750
11610, 10799, 12898, 10338, 11447, 12075, 11172, 8122, 8487, 6817
11665, 10817, 13553, 10568, 12754, 12583, 11452, 8321, 9410, 10738
12379, 11011, 14296, 11373, 13404, 13339, 11655, 8896, 9452, 10792
12845, 12252, 15239, 11683, 13761, 14398, 12656, 10313, 9900, 10913
14699, 12423, 15547, 12005, 13908, 15130, 12902, 10555, 10773, 12134
14837, 12798, 16697, 12346, 14867, 15190, 15506, 11355, 12326, 12134
14963, 12826, 16936, 12471, 15572, 17071, 15918, 11975, 12603, 12454
15616, 13830, 17208, 13201, 17296, 17884, 16352, 12901, 12934, 14460
15818, 14599, 17229, 13326, 18307, 18296, 17276, 15019, 13169, 14802
15916, 15691, 18624, 13630, 18581, 18753, 17483, 15143, 13788, 15588
16508, 16632, 19061, 14586, 18714, 19107, 18115, 16171, 14066, 16086
17382, 16783, 21308, 14795, 19371, 19304, 18200, 16210, 14366, 16809
17833, 16911, 21398, 15296, 19611, 19612, 18993, 17369, 15239, 17452
18139, 17272, 21533, 15720, 20212, 19919, 19632, 18348, 15242, 18178
18691, 18043, 22439, 15848, 20231, 20666, 19735, 19177, 15984, 19572
19398, 18610, 22743, 17056, 20353, 20802, 20068, 19275, 16266, 19776
19534, 18807, 23015, 17265, 22579, 22135, 20653, 19896, 17148, 20197
19996, 18914, 23033, 17374, 23855, 22181, 21338, 20157, 17238, 20497
20418, 19811, 23883, 17420, 24624, 22372, 21523, 20252, 17563, 21159
20921, 19824, 24238, 17445, 25525, 22806, 21819, 20990, 18281, 21279
21051, 20341, 24566, 17832, 25768, 23581, 23822, 21361, 19201, 21716
21178, 20377, 24627, 18190, 26851, 25507, 24026, 21558, 19463, 22297
21662, 21021, 24641, 22507, 26886, 26005, 24054, 22735, 19892, 24699
22528, 22398, 25630, 22591, 27400, 26334, 24176, 22924, 20064, 24783
23261, 22872, 25861, 23652, 27438, 26639, 24856, 26170, 21230, 24796
23804, 23166, 26061, 23799, 27542, 27232, 25062, 26691, 21393, 24932
23847, 23423, 26886, 24144, 29952, 28693, 25886, 26788, 21949, 25490
24179, 23616, 27641, 25333, 30193, 28983, 26218, 26913, 22095, 25834
24651, 24087, 29010, 26028, 35524, 29536, 26343, 27440, 22993, 25935
25181, 24424, 29590, 26622, 36024, 29642, 26598, 28505, 23096, 26242
25207, 25238, 29848, 26710, 36608, 29995, 26752, 28737, 23133, 26783
25592, 26060, 30775, 27178, 36957, 30091, 26993, 29301, 23336, 27001
26673, 26666, 31348, 27397, 36957, 30110, 28816, 29672, 23545, 27982
27225, 27133, 31474, 27505, 37001, 30223, 29378, 30001, 24192, 29542
27234, 27251, 31860, 27837, 37323, 31335, 29810, 30567, 24283, 30346
27437, 28018, 32242, 29425, 37734, 31884, 30895, 32857, 24547, 30429
27641, 33083, 32669, 29684, 37862, 32119, 31423, 35199, 24673, 30626
29243, 33377, 32775, 30924, 38757, 32468, 32023, 35479, 24962, 30908
29366, 33594, 32862, 31939, 40298, 32588, 33497, 35991, 25239, 31199
29472, 33816, 33012, 32245, 40619, 33395, 34262, 35992, 26735, 31330
29781, 34248, 33329, 32526, 40661, 35641, 34762, 36200, 27827, 31633
30276, 34548, 33432, 32537, 40980, 36226, 35039, 36663, 28124, 31929
30674, 34963, 33468, 33010, 41682, 36816, 35324, 37750, 28712, 32083
30770, 35757, 34883, 33037, 41965, 37493, 37688, 37980, 28919, 32287
30859, 36019, 35405, 33864, 42578, 37751, 38138, 38433, 29404, 32675
31343, 36772, 35720, 34057, 43120, 37889, 38485, 38869, 29775, 33034
31816, 37080, 36887, 34363, 43436, 38310, 40275, 39163, 30354, 33152
