96, 161, 1114, 587, 785, 560, 3633, 428, 211, 78
123, 246, 1167, 603, 805, 601, 3768, 550, 317, 869
131, 1095, 1712, 646, 1197, 615, 3883, 555, 369, 3061
614, 1337, 1734, 1458, 1244, 639, 4112, 813, 372, 3074
1836, 1367, 1737, 2932, 1246, 862, 4857, 1361, 2529, 3192
2066, 1434, 1771, 3008, 1725, 11803, 5627, 1478, 2529, 3197
2094, 1607, 1771, 3015, 1970, 11816, 5646, 1492, 2529, 3220
2389, 1607, 2018, 3291, 3778, 11922, 5646, 1493, 2678, 3280
2421, 1742, 2151, 3705, 4031, 12127, 5677, 1870, 2701, 3285
2451, 1820, 2158, 3705, 4033, 12127, 6180, 2158, 5283, 3290
2451, 1874, 2162, 3716, 4119, 12146, 6180, 2195, 5839, 3301
2889, 1907, 2174, 3724, 4319, 12149, 6182, 2203, 6892, 3505
4014, 1907, 2788, 3832, 4411, 12156, 6266, 2203, 6901, 3538
4016, 1990, 4332, 3835, 4663, 12160, 6541, 2233, 6901, 3777
4030, 2000, 4397, 3837, 4672, 12169, 6547, 2244, 6996, 3856
4037, 2001, 4430, 3837, 4680, 12175, 6676, 2246, 7042, 4890
7041, 2001, 4432, 3845, 5159, 12197, 7163, 2837, 7259, 4896
7041, 2416, 4545, 3847, 6702, 12197, 7167, 3025, 7264, 5360
7077, 3448, 4553, 3847, 7039, 12197, 7180, 3025, 7264, 5360
7343, 3574, 4553, 3851, 7764, 12197, 7215, 3027, 7422, 5542
7408, 3585, 4650, 4065, 7766, 12197, 7217, 3093, 9298, 5551
7811, 3619, 4650, 4065, 7766, 12347, 7634, 3104, 9314, 5551
7813, 3619, 4659, 4112, 7927, 14156, 7707, 3106, 9340, 5563
7813, 3619, 6985, 4129, 7928, 15504, 7709, 3106, 9458, 6470
7825, 3619, 7321, 4242, 7928, 15541, 7709, 3109, 13516, 6855
7826, 3620, 7510, 4245, 7932, 15541, 7729, 3155, 13516, 6883
7827, 3633, 7706, 4245, 8042, 15557, 7733, 3159, 13516, 6909
9515, 8173, 7908, 4246, 8577, 15698, 7782, 3159, 13516, 6948
12213, 8454, 7908, 4248, 8593, 15812, 8277, 3466, 13522, 6950
12215, 8494, 8078, 4249, 8600, 15838, 8278, 4601, 13774, 6972
12382, 8494, 8138, 4249, 8605, 15910, 8324, 4620, 13774, 7024
13487, 8526, 8138, 4249, 8714, 16610, 8325, 4621, 13777, 7024
13489, 8526, 8138, 4249, 8714, 16654, 8426, 4621, 13782, 8527
13498, 8776, 8326, 4615, 8714, 16656, 8543, 4631, 16594, 8527
13498, 8776, 8539, 8530, 8714, 16660, 8645, 4635, 18870, 8532
13498, 9090, 8648, 8530, 8714, 16660, 8647, 4635, 19204, 8532
13499, 9097, 8648, 8574, 8732, 16660, 9136, 4635, 19329, 8587
16055, 10585, 8689, 8574, 8741, 16741, 10099, 8225, 19490, 8587
16059, 10585, 12760, 8574, 8742, 18508, 10468, 8423, 19492, 8605
16186, 11603, 12762, 8785, 8744, 19266, 10638, 8542, 19630, 9761
16187, 11682, 12763, 8786, 8744, 20126, 10638, 8547, 19633, 9765
16187, 11682, 13313, 8788, 8763, 23941, 10638, 8654, 19645, 9873
17828, 11801, 13481, 8808, 8866, 27082, 10801, 8671, 21140, 12393
17828, 11806, 13536, 8896, 9131, 27083, 10830, 8671, 21140, 12393
17828, 11806, 13565, 8896, 9140, 27083, 10833, 8769, 21684, 12393
17828, 11879, 13569, 8898, 9141, 27817, 10833, 8769, 21730, 12393
17900, 11879, 13570, 8899, 9144, 27840, 10839, 8772, 21730, 12393
17927, 11879, 13576, 8927, 9144, 27847, 12298, 8772, 21732, 12393
17927, 11879, 13577, 8928, 9156, 27847, 12438, 8772, 21869, 12417
17927, 11880, 13583, 8928, 9190, 27847, 12438, 8772, 21869, 12417
17990, 11880, 13583, 8971, 9190, 27847, 12438, 8772, 21902, 12646
18027, 11880, 13589, 8971, 9190, 27949, 12505, 8774, 21902, 12691
18033, 11915, 13589, 8991, 9190, 27949, 12678, 12822, 21904, 12704
18657, 12059, 13637, 8991, 9190, 27961, 13126, 12837, 21904, 12706
18729, 12059, 13637, 8991, 9190, 28016, 13138, 12868, 21918, 12706
18729, 12881, 14833, 8991, 9190, 28016, 13138, 12868, 21918, 12761
19149, 12894, 14833, 8991, 9193, 30822, 13155, 12930, 21944, 12761
19155, 13093, 14864, 9872, 9221, 30823, 13173, 12966, 21944, 12761
19156, 13183, 14873, 9872, 9221, 30874, 13173, 12966, 22023, 12761
19156, 13185, 14901, 9872, 9231, 33624, 13173, 12977, 22079, 12761
19156, 13188, 14914, 10510, 9400, 33639, 13688, 12977, 23344, 12786
19156, 13188, 15883, 10512, 9877, 34101, 13704, 13021, 23829, 12786
19413, 13188, 15902, 10928, 9877, 34101, 13710, 13119, 23829, 13108
19413, 13188, 15927, 11632, 9881, 34134, 14002, 13120, 24052, 13175
19464, 13189, 15927, 12086, 9948, 34181, 14002, 14203, 24120, 13177
23783, 13190, 16185, 12086, 10093, 34181, 14033, 14216, 26985, 13286
24406, 13190, 16227, 12113, 10093, 34184, 14063, 14216, 27957, 13314
24437, 13193, 16231, 12164, 10094, 34463, 15053, 14219, 29691, 13605
24505, 13444, 16233, 12225, 10094, 34483, 15377, 14219, 29692, 14288
24505, 13444, 16233, 12225, 10600, 34631, 15478, 14286, 29738, 14381
24540, 13444, 16234, 12225, 10631, 34793, 15487, 14288, 29863, 14381
24550, 13444, 16779, 12397, 12198, 34793, 16292, 14288, 29863, 14498
24550, 13463, 16784, 12397, 12198, 34793, 16296, 14288, 35358, 14507
24681, 13499, 16784, 12397, 12205, 37848, 16317, 14622, 35358, 14528
24701, 13797, 16939, 12532, 12205, 37849, 16318, 14625, 35358, 14528
24702, 13797, 16942, 12714, 12218, 38070, 16318, 14625, 35574, 14545
24705, 13797, 16944, 12714, 12239, 38175, 16318, 14625, 35574, 14553
24713, 13824, 16944, 12714, 12675, 38179, 16326, 14625, 35574, 14577
24714, 13846, 18435, 12714, 12676, 38179, 16641, 14625, 35602, 14592
24732, 13858, 18442, 13217, 12676, 38179, 16641, 14628, 35602, 14592
24750, 13981, 20351, 13224, 12676, 38179, 16723, 14757, 35620, 16768
24750, 14009, 20351, 13542, 12676, 38179, 16723, 14757, 35689, 16768
24750, 14157, 20355, 13546, 12686, 38232, 16847, 14757, 35704, 16781
24953, 14157, 20355, 13554, 12769, 38232, 16849, 14758, 35704, 16781
25002, 14158, 20724, 13554, 12771, 38240, 17397, 16440, 35704, 16921
25559, 14232, 20724, 14170, 12788, 38337, 19075, 16440, 35704, 17620
25559, 14232, 20729, 14170, 13086, 38337, 19075, 16440, 35705, 17639
25582, 14236, 20754, 14880, 13742, 38337, 19080, 16448, 35705, 17639
25582, 14236, 20754, 14885, 13757, 38367, 19381, 16448, 36945, 17650
25587, 15399, 20790, 15030, 13757, 38431, 19384, 16448, 36991, 17665
25587, 15440, 23677, 15421, 13757, 38557, 19385, 17232, 36991, 17669
25587, 15440, 23677, 15421, 13757, 38810, 19409, 17248, 36991, 17699
25587, 15440, 23677, 15421, 13802, 38822, 19414, 17248, 36992, 17824
25587, 15440, 23677, 15463, 13802, 38829, 19934, 17248, 37004, 17824
25598, 15444, 23677, 15469, 13803, 38829, 20193, 17248, 37009, 17825
28544, 15444, 23677, 15484, 13807, 38829, 20464, 17256, 37042, 19652
28544, 15444, 23677, 15484, 13810, 38829, 20464, 17256, 37042, 19678
28551, 15444, 23779, 15484, 14185, 38829, 21103, 17256, 37073, 19678
28692, 15444, 23779, 15512, 14185, 38955, 21253, 17256, 37094, 19678
28702, 15444, 23985, 15512, 14185, 39221, 21253, 17256, 37094, 19793
28741, 15447, 24140, 15512, 14312, 39436, 21288, 18735, 37094, 19793
28741, 15447, 24140, 15512, 14335, 40265, 21289, 18735, 37100, 19909
28741, 15449, 24140, 15538, 14335, 40272, 21349, 18741, 37686, 20658
29147, 15451, 24140, 15538, 17475, 40273, 21349, 18771, 37686, 20658
29147, 15454, 24237, 15538, 17657, 40276, 21349, 18777, 37770, 20932
29157, 15454, 25356, 16022, 17658, 40276, 21407, 18806, 37770, 20937
29231, 15454, 25479, 16022, 17658, 40276, 21407, 19358, 37770, 20939
29233, 15456, 25889, 16022, 17658, 40331, 21407, 19388, 37904, 22226
29299, 15471, 26499, 16022, 17684, 40344, 21780, 19576, 37904, 22226
29475, 15502, 26571, 16031, 17765, 40344, 21789, 19576, 37904, 22234
29475, 15798, 26637, 16036, 18595, 40344, 22184, 19576, 37904, 22297
29475, 15993, 26641, 16056, 18843, 40389, 22184, 19576, 38097, 22345
29475, 16144, 27319, 16058, 18850, 40392, 22273, 19606, 38108, 22345
29475, 16271, 27319, 16058, 19025, 40422, 22273, 20412, 38108, 22345
29475, 16289, 28123, 16058, 19025, 40422, 22273, 20412, 38108, 22345
29475, 16919, 31028, 16084, 19026, 40422, 22273, 20419, 38108, 22360
32413, 17164, 31028, 16243, 19026, 40565, 22273, 20631, 38213, 22360
32413, 17176, 31028, 17812, 20612, 40565, 23655, 20631, 38707, 22360
32451, 17200, 31067, 20601, 20641, 40565, 23655, 20631, 38789, 22539
32462, 18134, 31067, 20883, 20644, 40565, 23686, 20631, 38789, 22630
32670, 18510, 31067, 21072, 20645, 41022, 23892, 20631, 38789, 22630
32683, 18510, 31414, 21204, 20645, 41046, 23892, 20654, 38791, 22630
32683, 18514, 31414, 21943, 22544, 41046, 23911, 20655, 38791, 22799
32732, 18531, 31414, 21943, 24618, 41046, 23938, 20655, 38814, 22801
33064, 18531, 31415, 22130, 24657, 41067, 24062, 21096, 38818, 22801
33064, 18531, 32990, 22213, 24657, 41482, 24076, 21265, 39080, 25252
33250, 18699, 32990, 22669, 24657, 41527, 24146, 21268, 39083, 25410
33250, 18699, 34254, 22669, 27149, 41547, 24149, 21268, 39787, 25432
33250, 18699, 34330, 22672, 27150, 41547, 24631, 21691, 39846, 25432
33264, 18704, 34376, 22823, 27150, 41561, 24753, 23529, 39846, 25541
33397, 18704, 34403, 22823, 27192, 41647, 24754, 24044, 39896, 28432
33702, 18704, 34417, 22825, 27380, 41647, 24754, 24094, 39896, 28532
33702, 18704, 34417, 22852, 27380, 41647, 24754, 24094, 39896, 28532
33705, 18704, 35551, 22872, 27380, 41647, 24770, 24122, 39905, 28532
33707, 18704, 35611, 22872, 27398, 41937, 24773, 24653, 39999, 28597
33726, 18704, 35722, 23042, 27549, 42114, 24773, 25202, 39999, 28597
33755, 18732, 35726, 23042, 28159, 42114, 24773, 25204, 39999, 28597
33755, 18732, 35726, 23042, 28282, 42326, 24773, 25204, 40109, 28611
33755, 18732, 35726, 23282, 28411, 42365, 24773, 25308, 43061, 28611
33787, 18749, 35726, 23282, 28431, 42398, 24773, 25308, 43061, 28624
34332, 18749, 35726, 23282, 28432, 42399, 27717, 25308, 43061, 28648
34334, 18865, 35726, 23282, 29524, 42399, 27717, 25328, 43093, 28648
34334, 18865, 35757, 23282, 29524, 42399, 27718, 25407, 43799, 28649
34334, 18866, 35757, 23282, 29524, 42552, 27769, 25407, 43799, 28649
