2688, 3014, 4263, 2630, 2597, 2311, 2451, 3321, 3152, 3367
2770, 3383, 5576, 4582, 2877, 4049, 3244, 3406, 4476, 3534
2936, 3780, 5615, 4615, 3435, 4295, 3377, 4352, 5683, 3757
3064, 11457, 5778, 4687, 7454, 4949, 3770, 4356, 5743, 3922
6836, 11497, 6017, 4936, 7575, 6051, 3849, 4482, 6706, 3934
7143, 11601, 6087, 13479, 7592, 10126, 3937, 4498, 7472, 5883
7161, 15493, 6360, 18400, 9917, 10266, 4878, 4619, 7474, 6135
7292, 15936, 6585, 18402, 11100, 12069, 6060, 5807, 11093, 6321
8410, 16107, 6585, 22886, 11399, 13111, 6100, 5822, 12073, 6735
9233, 17934, 6598, 22928, 11422, 13188, 10235, 5886, 12633, 6828
9281, 17938, 6703, 23187, 15885, 13577, 13453, 6038, 12675, 6829
9296, 17977, 6722, 23294, 17390, 13579, 13453, 6195, 12675, 6859
12026, 18243, 6745, 25316, 17465, 13800, 13923, 6341, 12733, 7510
12026, 18243, 6756, 25327, 17729, 13805, 16276, 6585, 13390, 7540
12137, 18247, 6810, 32388, 18024, 13881, 16621, 6890, 13436, 10898
12140, 18251, 7020, 35172, 18026, 13948, 16709, 6941, 13707, 10988
12278, 18260, 7051, 35296, 18160, 14207, 16899, 6992, 13888, 10992
12300, 18531, 7690, 35296, 18230, 14217, 16972, 7896, 13890, 11097
12993, 18830, 7724, 35302, 18432, 14810, 17621, 8058, 13959, 11175
13830, 18911, 8184, 35317, 18449, 14836, 17628, 8087, 13974, 20823
14215, 21370, 8186, 35410, 18606, 14843, 17754, 8645, 15044, 20831
15782, 21971, 8233, 35574, 18619, 14940, 18025, 12550, 15093, 20907
15905, 22151, 8272, 35574, 18633, 15385, 18137, 12597, 15172, 20907
15970, 22192, 8272, 35588, 19944, 15783, 18137, 12597, 15192, 20922
16634, 23236, 8600, 35791, 19949, 15785, 21090, 12604, 15203, 20927
16650, 23239, 9279, 35852, 19972, 15811, 21225, 12624, 15213, 20927
16652, 23455, 9279, 35981, 20007, 15942, 26558, 12625, 15243, 20932
16669, 23464, 12259, 35997, 20666, 16229, 26561, 12776, 15315, 26415
16687, 23464, 12279, 38199, 22926, 16258, 26658, 12976, 15341, 26423
17535, 23691, 16008, 38237, 23010, 18587, 27289, 12989, 15550, 26445
17598, 23713, 16020, 38263, 23013, 18587, 27414, 15361, 15559, 26726
18033, 23858, 16020, 38356, 23023, 18590, 27512, 15567, 15633, 26742
18047, 23995, 16061, 38416, 23047, 18641, 27514, 15585, 16396, 26984
18061, 24122, 16062, 38418, 23063, 18689, 28206, 15830, 16575, 26985
18067, 25236, 16377, 39348, 23266, 18693, 28319, 16044, 17260, 26990
19856, 25242, 16388, 39363, 23284, 18956, 37831, 16044, 17367, 27008
19930, 25242, 16533, 39944, 23362, 19004, 38360, 16058, 20424, 27044
20001, 25265, 20163, 42261, 23516, 19081, 38396, 16611, 20432, 27154
22393, 25433, 20228, 42274, 23524, 21415, 38399, 16994, 20448, 27535
